cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
16,016,66.0,90.9291,Medio,0.851774549342996,12129.0,0.0,0.0
20,022,65.0,10.107,Medio,0.838632912602388,12131.36,0.0,0.0
31,095,5.0,0.165,Bajo,0.861225532476956,12133.33,0.0,0.0
31,096,584.0,94.9293,Medio,0.836423482825638,12137.7,0.0,0.0
20,516,29.0,3.6618,Alto,0.812240977213519,12138.89,0.0,0.0
20,420,18.0,0.592,Alto,0.784410660731232,12146.3,0.0,0.0
21,115,560.0,213.9085,Medio,0.836025041949365,12146.515,0.0,0.0
18,019,147.0,57.2894,Muy alto,0.697279830892549,12149.0,0.0,0.0
20,251,52.0,2.179,Alto,0.778067973169619,12149.28,0.0,0.0
07,007,347.0,81.6703,Muy alto,0.720013283208214,12155.0,0.0,0.0
20,236,77.0,12.8414,Muy alto,0.725470769772516,12167.0,0.0,0.0
20,041,716.0,33.7329,Muy alto,0.747409769502719,12177.5,0.0,0.0
08,046,548.0,344.5382,Muy alto,0.619448767655328,12203.630000000001,4995803.9,0.0
12,059,217.0,259.3651,Alto,0.790095116133337,12207.506666666668,0.0,0.0
07,125,76.0,40.5586,Alto,0.78316828335508,12207.880000000001,0.0,0.0
12,071,422.0,88.373,Muy alto,0.70406179774211,12215.0,0.0,0.0
16,048,13.0,7.3325,Bajo,0.859078452574833,12219.295,0.0,0.0
30,145,8.0,5.46,Bajo,0.86106668289635,12229.5,0.0,0.0
12,046,440.0,229.4216,Alto,0.789821610437674,12230.386666666667,0.0,0.0
12,074,878.0,233.6194,Muy alto,0.737767997198997,12243.0,0.0,0.0
20,345,5.0,0.2088,Alto,0.8123396711342,12250.0,0.0,0.0
30,186,25.0,3.0613,Bajo,0.861162812228483,12250.74,0.0,0.0
24,050,334.0,134.6587,Bajo,0.86100864208395,12261.439999999999,0.0,0.0
21,176,45.0,5.287,Medio,0.852542428525623,12265.025,0.0,0.0
19,014,313.0,27.2263,Alto,0.822764866587397,12268.39,0.0,0.0
13,049,310.0,41.8014,Alto,0.823996357303171,12278.92,0.0,0.0
16,032,251.0,100.5794,Bajo,0.860462150736857,12281.235,0.0,0.0
20,389,3.0,0.7473,Alto,0.792745176795341,12284.865,0.0,0.0
20,060,269.0,10.1191,Alto,0.793917165737143,12286.310000000001,0.0,0.0
20,289,109.0,4.1476,Alto,0.799358147408017,12320.0,0.0,0.0
30,104,86.0,22.0441,Alto,0.793766514057035,12337.375,0.0,0.0
07,054,23.0,35.7021,Alto,0.820213960543325,12344.49,0.0,0.0
31,077,3.0,0.5167,Alto,0.793386575237844,12348.814999999999,0.0,0.0
20,008,19.0,5.8935,Medio,0.829286310271319,12354.87,0.0,0.0
20,393,57.0,14.0543,Alto,0.81181164987683,12356.25,0.0,0.0
20,021,46.0,10.3968,Medio,0.854377456145676,12360.625,0.0,0.0
30,049,182.0,114.6548,Medio,0.838515481359682,12376.3,0.0,0.0
20,425,69.0,3.0301,Alto,0.805322167528809,12377.78,0.0,0.0
20,313,92.0,23.13,Alto,0.792869265008444,12377.955,0.0,0.0
