"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"210","16","086",233,1177.8505,8282.7527,35.5482948497854
"211","16","088",5,3.7787,24.5611,4.91222
"212","16","093",23,26.6725,33.3636,1.45059130434783
"213","16","100",7,4.487,4.4749,0.639271428571429
"214","16","103",337,1213.6149,6462.876,19.1776735905045
"215","16","104",336,895.168,5197.7587,15.4695199404762
"216","16","105",613,3618.6498,23694.8685,38.6539453507341
"217","16","106",152,745.287,5088.2204,33.4751342105263
"218","16","108",392,1996.1634,11263.4354,28.7332535714286
"219","16","109",4,23.73,114.15,28.5375
"220","16","110",68,316.9695,1610.0432,23.6771058823529
"221","16","112",37,18.375,8.24,0.222702702702703
"222","16","113",1730,4973.3773,25596.7917,14.7958333526012
"223","19","007",19,294.05,764.8,40.2526315789474
"224","19","009",296,3958.3635,9153.6706,30.9245628378378
"225","19","013",96,1934.59,3591.5353,37.4118260416667
"226","19","014",6,23.62,12.8682,2.1447
"227","19","017",110,1063.5269,1968.962,17.8996545454545
"228","19","020",8,155,593.8989,74.2373625
"229","19","022",46,2753.205,3474.1361,75.524697826087
"230","19","024",3,5,2,0.666666666666667
"231","19","038",12,113.21,109.4451,9.120425
"232","19","041",100,1307.8839,4304.8607,43.048607
"233","19","042",54,2125.643,5196.7933,96.236912962963
"234","19","045",3,13.6589,52.2721,17.4240333333333
"235","19","049",3,1.44,0.5,0.166666666666667
"236","20","001",3,2,0.2,0.0666666666666667
"237","20","006",148,217.5782,108.9352,0.736048648648649
"238","20","018",12,23.0086,7.3476,0.6123
"239","20","026",38,17.36,5.78,0.152105263157895
"240","20","046",95,145.5855,98.111,1.03274736842105
"241","20","047",6,9,0.5,0.0833333333333333
"242","20","050",44,12.116,3.435,0.0780681818181818
"243","20","054",5,12.25,7.8,1.56
"244","20","093",19,19.525,1.235,0.065
"245","20","096",78,275.3516,272.6745,3.49582692307692
"246","20","105",58,36.3295,6.826,0.117689655172414
"247","20","106",26,16.212,1.37,0.0526923076923077
"248","20","110",17,10.15,0.98,0.0576470588235294
"249","20","121",47,48.4237,15.2163,0.323751063829787
"250","20","126",28,23.75,7.255,0.259107142857143
"251","20","129",41,71.2,5.938,0.144829268292683
"252","20","140",34,27.655,9.3244,0.274247058823529
"253","20","144",109,175.23,76.235,0.699403669724771
